featureid	Intercept	C(mouse_type, Treatment('control'))[T.vancomycin]	C(mouse_type, Treatment('control'))[T.wound]
GO:0004035	-1.4362767919301813	0.40673896859509817	-4.499978466401647
GO:0004037	-2.1093806012868708	0.7325577158771264	-3.976924820314
GO:0004038	-2.685116647124273	0.5396459717593896	-2.8774337009292346
GO:0004040	0.8250571504831488	0.8545581717334496	1.381471173395564
GO:0004042	0.7239276186227972	1.340165438159536	1.2309402986664075
GO:0004044	-0.4414461835622614	0.16089908967835775	1.3996977373260755
GO:0004045	0.5345431581735784	0.14588105867726675	0.7113205357689161
GO:0004047	0.8138991609811956	-1.3774377684749854	0.3890519454378385
GO:0004048	-1.6295465215444391	0.7786679286800133	0.10705609761660284
GO:0004049	1.2755657449960882	-0.7184253316082252	0.36633363508169836
GO:0004055	1.4023569837808783	-1.1249160151638282	0.4220322086710233
GO:0004056	1.6206789032221014	0.2230562884650933	0.7423372431892652
GO:0004061	-2.607080338835699	0.47362822483403555	0.8954695030349988
GO:0004062	-5.423349736571295	-1.0217025261081947	1.3340405985016126
GO:0004066	1.4695283190012152	-0.6948742251552833	0.6810752093095083
GO:0004067	2.14781606352331	-0.961989102856089	0.3942694380182523
GO:0004068	-0.38433849656580144	-0.738365827099253	0.39729277931635565
GO:0004070	1.0980576292276556	-0.010762201593090381	0.6867559715408582
GO:0004071	0.9967516676187689	-0.8608260135807289	0.47572677724545187
GO:0004072	-0.6611345990896051	0.6233128924213158	0.9034576579231519
GO:0004073	0.018649222016351885	1.1804131884418236	1.162158088316371
GO:0004075	-1.2775553449392145	0.5199263114772545	0.17797823392336554
GO:0004076	-0.27034318292139226	1.4209411759219872	1.2828157707351941
GO:0004077	-1.4796141370534723	0.7436402458987939	1.0046990975040693
GO:0004084	-1.5576266034841364	0.7766100187144982	0.8389159902233381
GO:0004088	2.263447405457514	0.8378714341960656	1.1214590831894178
GO:0004089	-1.1796659215688532	1.17838937233312	-1.1628530458312731
GO:0004096	2.0518414989710028	-0.09861057435052523	0.5646701697494585
GO:0004104	-3.9827040418386286	-3.2561646084942115	1.2269994779724378
GO:0004106	0.08196699774267024	1.1009688992343651	1.2422092124122877
GO:0004107	1.3413637892008001	-0.09736010243075022	0.6053082212108869
GO:0004108	-1.8076699956655329	0.6408672947726952	-4.235810680757115
GO:0004109	1.1598061338663275	0.462570132716726	0.7395769222873945
GO:0004112	-1.9778493627309626	0.9534085411868798	-4.08564178503568
GO:0004113	-1.560938237547857	1.1649679560504662	-0.987028046022008
GO:0004115	-2.3911188825368708	0.8816015739284264	-3.522648735414098
GO:0004121	-1.0964735730886286	1.0752992052875268	-0.6007997230392199
GO:0004124	1.9021263138055975	-0.10409740541951784	0.6025898731548089
GO:0004125	-3.8439973577260798	-0.38026064445154795	0.863211588491847
GO:0004126	-1.6194595082998102	0.9908595700107323	-0.8167846635680895
GO:0004127	0.7984668031931097	0.09757141958100668	0.6957684173483152
GO:0004129	0.8144410864114935	0.9048364181361901	-5.66029302633817
GO:0004132	-2.330506680846197	0.47794795225484243	0.7230900689262647
GO:0004133	-1.4577425702810114	0.45749002884251944	0.1712809368271131
GO:0004134	2.6745274678468878	-0.7989397030033363	0.5740174683976669
GO:0004135	1.678642512917536	-2.3600576501049293	0.43720400475447363
GO:0004139	0.717147471070307	-0.7391110639728797	0.46277181946222967
GO:0004140	0.4787627474069769	-0.24999101270811686	0.6953488602537412
GO:0004141	0.5738915220499212	0.35147729705197683	0.6748594655889768
GO:0004143	-2.532230733275396	1.3586573023639428	-3.646207733522008
GO:0004146	0.2906264082193548	0.14316493461949698	0.6809326573509473
GO:0004148	1.3785871282816107	0.16496835838181845	0.6890644594330091
GO:0004149	-0.23520481431482487	1.177557172282766	1.2312255664963025
GO:0004150	-0.22354233109949284	-0.41471981813089975	0.4922333671945829
GO:0004151	1.6335829511881048	0.5059821028552758	0.8196013733047742
GO:0004152	2.0650572792291815	-0.33589553643839487	0.7886610492367048
GO:0004156	1.2244409338236029	-0.2889907341160072	0.62825660549586
GO:0004160	-0.7472499593496149	0.8499754090152489	0.8113301857609052
GO:0004163	-2.422874329924566	0.9356432576022851	-0.8811418250900012
GO:0004170	0.2611776605844671	-0.6454634051479591	0.49223951392357534
GO:0004174	-2.064886926054937	0.5300104636989342	-4.018108291993688
GO:0004176	1.7696821705103094	-0.8289927821316017	0.5143430880505342
GO:0004177	2.6347361222505743	0.4802956600032555	0.8258887990612287
GO:0004180	3.853300304770487	-1.7076644282497657	0.36996062241976446
GO:0004181	4.259604097962397	-2.407251654163767	0.363831163873126
GO:0004185	1.5783101335764105	-1.3740966897167457	0.33519871674959845
GO:0004190	1.2356683031320745	1.0191933531604516	1.0879692002434034
GO:0004197	1.8213926569223577	-1.7705579381145728	0.3847015216249723
GO:0004198	1.261428476929682	-2.4601796250499977	0.3462692513365049
GO:0004222	3.6962408140897924	0.04806890527827612	0.7085537477630872
GO:0004252	3.49070820367338	-0.039768633403648224	0.7072107210058469
GO:0004298	-1.9635699971914118	1.4312736410938012	-2.235889835725377
GO:0004300	-3.289953587889654	0.008749948843549404	-2.3152531818252307
GO:0004308	1.7704480901956732	0.6663339156947838	0.8418575688499708
GO:0004309	-1.674886105895025	0.7874775547824608	-4.0919040874343615
GO:0004310	-0.39758527123926335	1.3185464758716332	1.2809612318176526
GO:0004314	-0.3165036424398249	1.1987027544818627	1.3137700720924634
GO:0004315	0.7992051855325872	-1.0406538229145301	0.4862915887731809
GO:0004316	1.1143959776163275	-0.20632396449225077	0.6119875437814493
GO:0004318	1.1213771120310003	-0.046460484125484314	0.554085990903129
GO:0004324	-1.7136162503957575	1.0682517905078637	-1.1653942302566271
GO:0004325	-1.434893487334234	1.7151131052814232	0.37791173302118963
GO:0004326	1.6838109508752996	0.33115980218274466	0.8875213130611677
GO:0004329	1.6673105970621283	0.0033092741213547328	0.6958750351566572
GO:0004332	1.5716918722391302	-0.9565844516910804	0.46036460392658896
GO:0004333	-1.1472409948110407	1.4311355967365014	-1.383913917909215
GO:0004334	-2.100870965361578	0.6848350186191308	-3.9871935085159045
GO:0004335	0.1586517111063177	1.2979018111072298	1.2205706401962537
GO:0004340	-1.8011859639882868	0.8181688804469811	0.8610510393280286
GO:0004342	2.244950296044367	-1.0888361315883888	0.42743516110365576
GO:0004343	-2.1417025312185114	0.37253609488828054	0.8765167459148664
GO:0004345	1.2815147653818304	-1.2494394164242042	0.3196259304184217
GO:0004347	1.6268774286508734	0.085737081273626	0.6269722222584981
GO:0004348	2.631771506428736	-2.479713736072947	0.352580250729968
GO:0004349	1.3761967436075384	-0.29106791128294596	0.5909899189371366
GO:0004350	1.6062361017465765	-0.10125206221716532	0.6563899829286832
GO:0004351	1.5817631498575384	0.16268468092305532	0.6566003128189344
GO:0004352	-5.719910977721197	-0.4760859291710151	-0.29504524029309565
GO:0004355	-3.651964543700201	-2.8467565159954322	0.18034379326288885
GO:0004356	2.472328306794184	-0.36673575450556406	0.71395395838206
GO:0004357	-1.2637232526540583	1.1451150793872582	-0.3368056849342089
GO:0004358	0.26768458044530696	1.162646831973623	1.1926540895599622
GO:0004359	1.6903914228677923	-0.0846326183237327	0.6324925585884351
GO:0004360	2.221083165764826	-1.0830269436992896	0.41966554664557165
GO:0004363	-1.5131577237844294	1.366870703204702	-4.514174385438512
GO:0004364	-2.6414331182241266	1.1005532164417016	-0.5606705383163195
GO:0004365	-2.8506783231496637	-0.23766198565142282	-0.10826282061154657
GO:0004367	1.329196335434931	-0.188824726239611	0.6522533013719816
GO:0004368	-0.8156622632741755	1.3736268896899926	-0.616825147042821
GO:0004370	-1.2740367635488337	0.797669591411184	0.9602173432010908
GO:0004371	-0.9346894010305231	1.3453156370959984	1.1256955429214734
GO:0004372	0.42201244986059017	1.4257690329395043	1.2513403459686536
GO:0004373	-0.6241315587758844	0.5554925222240197	1.1580383344787855
GO:0004375	2.1118909136057074	0.29024958799702993	0.7521448894638318
GO:0004385	0.4628652349710638	-1.1126419882931007	0.4523127465743322
GO:0004386	4.316160322785395	-0.22145919312613138	0.6051208875376481
GO:0004396	1.0174514070749456	-2.359775124088694	0.43217601024096197
GO:0004397	-1.9321111425161188	1.0336467642627465	0.21127118312304205
GO:0004399	1.409978987336176	0.1446086187206017	0.6895336224931974
GO:0004400	1.0761994138956243	0.15750865827424398	0.8204886182445783
GO:0004401	1.9262691751718695	-0.900288639561106	0.5000699847239751
GO:0004411	-1.5078862890004938	0.4933775682292687	-4.497621937165807
GO:0004412	-0.9903572782277887	1.1158340592227685	0.8075708910125989
GO:0004413	-2.4765809758901423	1.1226388830981957	0.23547302328531927
GO:0004414	-0.03480326974390202	1.1505574602924096	1.2728216215271253
GO:0004416	-1.440654157042486	1.2673766035876977	-4.569732590089391
GO:0004417	-0.17404115045068913	0.9400255699001061	1.2328809066910047
GO:0004418	-1.1745895131826227	1.182410540088247	0.38317188762610144
GO:0004420	-1.9432486280202692	0.8740028757892357	-0.8955482677322131
GO:0004421	-2.2643975003957575	0.9640237707935082	-0.8076436952453356
GO:0004422	-2.900822041869146	-1.1774814706005348	1.544931547274043
GO:0004423	1.2470442072153265	-2.3797464947857154	0.3322536661524076
GO:0004424	1.105873228669184	-0.13747117479221949	0.5560223157752056
GO:0004425	0.9112929121256048	0.7509751338802086	0.9189770086902875
GO:0004427	2.159265400528925	-0.29411119033472666	0.6003840430874128
GO:0004450	1.3191252962351019	-0.06571838163660892	0.6753186076182622
GO:0004451	-0.8957470639943903	1.0884030480228173	-5.055549545655797
GO:0004452	-2.0763133748769587	0.562743427260946	-1.0617514089446765
GO:0004455	0.044123531937616534	1.1116752047382104	1.2901866599220533
GO:0004456	-3.980458138823492	0.5030695814929711	-2.4342426494460803
GO:0004459	-1.6748918279409235	0.8539972324214684	0.8483786150116224
GO:0004462	-3.540789483427984	0.18648429404122702	-2.359588547120641
GO:0004471	2.1806201950311834	-0.6436420064129127	0.5171822509962816
GO:0004474	-0.9497560247182673	1.3006750960193383	-4.782853050599645
GO:0004476	-0.13333833062647038	1.3211364168964135	1.2764806910652418
GO:0004477	-0.2880321725606745	1.100004853709768	1.2651234432358045
GO:0004478	1.7638272062540228	0.015957819326947842	0.640565597941329
GO:0004479	0.09744084036351985	1.0947273392520653	1.212389187445094
GO:0004488	1.107990862488764	-0.12692918439285883	0.6594035416144628
GO:0004489	1.3924459234476263	0.32217669676167837	0.7916632010835905
GO:0004491	-0.930343984007818	0.7332927603564965	-2.120253725419591
GO:0004493	-1.1743234380483454	1.1142830271564232	1.1902715726990003
GO:0004494	2.1358634248972113	-0.24485297311918863	0.5882589887130756
GO:0004496	-2.282390473723394	0.7694533486209618	-1.1853311494689684
GO:0004497	-0.4169267400502985	1.0976542849384057	0.12710277878229803
GO:0004499	-1.394049046874029	0.5548532624088036	-4.477764530549596
GO:0004512	1.2395018354654486	-2.324376879230906	0.34319070123617834
GO:0004514	1.367967964768427	-0.14069709737675318	0.6887380942005414
GO:0004515	0.6859859243631536	-0.03557480589376816	0.6521567194957036
GO:0004516	-1.5465530141591852	-0.6221037488140357	1.0165236159462232
GO:0004518	3.3199286476373846	-0.07390378598945269	0.7006905987161893
GO:0004519	3.8082285538911993	-0.3053982834972633	0.7226376398700971
GO:0004520	0.19425881063939876	1.2304275650821435	1.2121063634056348
GO:0004521	0.7897351995706732	0.3537533004127251	1.1086000963348646
GO:0004523	1.1006506696939642	0.5913084764323937	0.9043252929348249
GO:0004525	1.2845717684030706	-0.05685612696113118	0.7192379995483655
GO:0004526	0.1278594747781927	-0.03890280608909258	0.6336358427304525
GO:0004527	2.6470686212778265	0.41030952523572317	0.7878047838110227
GO:0004534	-0.9399937375783747	0.9916401524387108	1.0002500876087446
GO:0004536	-2.243935464262945	-0.9948475341953529	0.8933201595443983
GO:0004540	1.2832549825906927	-1.060983357922007	0.4038290395635862
GO:0004550	0.27044236814977474	-0.034184580639768924	0.6414549886483449
GO:0004553	6.2199703470468695	-1.5342205147899879	0.4171680226225156
GO:0004555	0.1256147638559515	1.5503937620959984	1.1400722428459424
GO:0004556	-1.9984019979238337	0.5319489855609643	0.37787807129805273
GO:0004557	0.7835768476724798	1.1315621752582299	1.0662092729706067
GO:0004559	3.648068116664904	-2.4783468823589576	0.43225790702288336
GO:0004560	3.8788020328283483	-0.4138536136307014	0.5632931627567608
GO:0004563	4.366625429749506	-0.6915125231899513	0.5122349909741182
GO:0004564	-0.5112236722707575	-0.9382718186535133	1.6819452806610364
GO:0004565	4.58838105356695	-1.2208376507915748	0.45638688050692267
GO:0004573	0.07333147680761165	1.1222963948093163	1.19108899079745
GO:0004584	-3.231895326018316	-3.6488767247356666	1.4393438860077161
GO:0004585	-0.10379159295557194	1.315914573176931	1.2222314640182752
GO:0004587	-2.394492982268316	0.9504277129016625	-1.988286419282506
GO:0004588	0.49809205687047786	-0.2840264569677604	0.5534796095687646
GO:0004590	-0.2941046937703913	1.3738712687335717	1.2124918266433973
GO:0004591	0.5035122648477728	1.5411681551776635	1.1978693171638746
GO:0004592	1.0151714102029974	0.15473979900700918	0.6583562805551786
GO:0004594	-0.11620962464807683	1.0323808808170067	1.143085078825404
GO:0004595	0.33926022207738704	-1.0469518284954322	0.41900357746069616
GO:0004601	0.37631189978124446	0.7605525870166527	0.4301735921997327
GO:0004602	0.21366632139684505	-1.1233523469127906	0.38434995852892584
GO:0004604	-0.651443837523443	1.211512627109121	1.121198968519618
GO:0004605	0.7238587156534368	-0.9916630368389381	0.486927317013194
GO:0004609	0.8298703447580511	0.1912920940957772	0.7044288679260511
GO:0004611	-2.4679292424917048	-0.26826503683703073	-0.7657477096420031
GO:0004612	1.5055140272379095	-2.0041506867565406	0.6224105446833867
GO:0004613	0.4690455213785345	1.2956406493030297	1.2460349961418409
GO:0004614	-2.8128575071096247	-0.014223026082683887	-0.4221781329017382
GO:0004615	-3.994912503600103	-0.13598868806736597	-0.3277371362548571
GO:0004616	1.1982458845377142	-0.7460194211162818	0.3837309940952558
GO:0004617	-3.558130143523199	0.06957747231347433	0.08480440222208685
GO:0004618	1.3184829965830023	0.12744121442658773	0.7239795341390867
GO:0004619	-0.6652697309255426	0.35829553197247854	-0.028176887403080997
GO:0004620	-0.9104298337697809	0.7542127985797631	-2.4507130817275744
